"cidade_id","mes_ano","indice_vendas","indice_confianca_consumidor","cidade_nome","polo","coord_x_km","coord_y_km","populacao_mil","indice_renda_media","ticket_medio_regional","var_placebo_espacial"
"CID01",2019-01-01,140.4,103.4,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-02-01,158.4,110.1,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-03-01,169.2,105.6,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-04-01,165.7,103,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-05-01,185.1,100.7,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-06-01,186.9,97.8,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-07-01,177.2,93.4,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-08-01,160.3,96.5,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-09-01,148,96.3,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-10-01,137,98.4,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-11-01,130.5,97.9,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2019-12-01,125.8,100.7,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2020-01-01,149.8,105.5,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2020-02-01,150.7,113.6,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2020-03-01,171.8,106.4,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2020-04-01,178.7,107.5,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2020-05-01,181.3,108.2,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
"CID01",2020-06-01,182,100.3,"Porto Verde","Polo_4",94.68,73.62,57,4.263,61.87,107.45
