"loja_id","regiao","tipo_loja","porte","area_m2","num_funcionarios","fluxo_clientes_mensal","ticket_medio","gasto_marketing","receita_mensal","taxa_conversao","teve_reclamacao_grave","num_reclamacoes_mes","participou_campanha","receita_pre_campanha","receita_pos_campanha","participou_teste_fidelidade","grupo_teste_fidelidade","vendas_incrementais_fidelidade"
"LJ0001","Oeste","Shopping","Pequena",92.3,3,2707,42.91,2124.35,2405.37,0.1654,0,2,1,2405.37,2267.17,0,NA,NA
"LJ0002","Leste","Rua","Pequena",87.4,4,1721,39.6,1083.24,500,0.1434,1,1,0,NA,NA,0,NA,NA
"LJ0003","Central","Shopping","Pequena",76.9,1,2309,42.75,1302.68,3135.63,0.1941,0,1,0,NA,NA,0,NA,NA
"LJ0004","Sul","Shopping","Grande",472.9,28,21564,89.27,11773.77,37921.93,0.3548,0,3,0,NA,NA,0,NA,NA
"LJ0005","Leste","Shopping","Grande",523.9,17,14328,88.82,10298.67,25526.45,0.3596,0,1,1,25526.45,27083.51,1,"Controle",96.38
"LJ0006","Central","Shopping","Pequena",107.4,6,2543,51.75,1287.4,6229.23,0.1351,1,1,0,NA,NA,0,NA,NA
"LJ0007","Leste","Rua","Media",223.2,11,7186,65.66,3744.11,9379.3,0.2837,0,1,0,NA,NA,0,NA,NA
"LJ0008","Norte","Rua","Grande",511.1,26,16219,91.67,9409.75,28078.99,0.3223,0,0,0,NA,NA,1,"Tratamento",-20.02
"LJ0009","Sul","Shopping","Pequena",82.1,4,2316,43.57,755.58,500,0.1615,0,1,1,500,500,0,NA,NA
"LJ0010","Leste","Quiosque","Pequena",87.5,5,1743,42.32,1000.54,2394.13,0.1142,0,1,0,NA,NA,1,"Controle",359.12
"LJ0011","Central","Quiosque","Media",240.3,11,4866,63.44,4973.42,9219.11,0.2688,0,1,0,NA,NA,1,"Tratamento",47.09
"LJ0012","Oeste","Shopping","Grande",486.8,29,16913,123.01,6936.09,37046.71,0.321,1,1,0,NA,NA,0,NA,NA
"LJ0013","Sul","Rua","Pequena",85.7,5,2259,54.54,2089.32,4444.98,0.1817,0,3,0,NA,NA,0,NA,NA
"LJ0014","Norte","Rua","Media",238.3,9,5069,47,3652.2,5460.05,0.2497,0,1,1,5460.05,5850.38,0,NA,NA
"LJ0015","Central","Quiosque","Pequena",100.3,3,2423,34.47,824.66,766.82,0.1438,0,4,1,766.82,1341.93,0,NA,NA
"LJ0016","Sul","Rua","Media",260.1,12,7248,60.47,3707.84,10952.91,0.3027,0,2,1,10952.91,12206.86,1,"Controle",-276.61
"LJ0017","Leste","Quiosque","Media",161.6,12,5770,64.86,2548.04,2970.6,0.2544,0,1,0,NA,NA,1,"Tratamento",679.39
"LJ0018","Central","Quiosque","Grande",444.3,29,12609,88.38,17143.61,23006.31,0.3162,0,0,0,NA,NA,0,NA,NA
"LJ0019","Sul","Rua","Pequena",118,6,2795,59.38,1626.4,8783.72,0.1482,0,0,0,NA,NA,0,NA,NA
"LJ0020","Central","Shopping","Grande",530,30,16460,82.31,10741.37,24210.53,0.3425,0,4,0,NA,NA,0,NA,NA
"LJ0021","Sul","Rua","Pequena",52.2,2,2073,33.11,2331.97,500,0.1739,0,1,0,NA,NA,0,NA,NA
"LJ0022","Sul","Shopping","Pequena",84.7,6,2444,41.47,1001.64,5747.29,0.1641,0,2,0,NA,NA,1,"Tratamento",575.21
"LJ0023","Sul","Rua","Pequena",76.7,1,2630,35.93,1479.99,4029.97,0.1704,0,1,0,NA,NA,0,NA,NA
"LJ0024","Central","Rua","Pequena",101.2,4,2429,57.84,1199.99,2075.18,0.1499,0,2,0,NA,NA,1,"Tratamento",311.32
